Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
What is 2349 - 479?,1880,1870,1868,1871,B,2349 - 479 = 1870.,Math / Mathematics,Subtraction
What is 25% of 660?,165,145,155,185,A,25% of 660 = (25/100) × 660 = 165.,Math / Mathematics,Percentage
What is 258 ÷ 2?,129,134,130,133,A,"258 ÷ 2 = 129, since 2 × 129 = 258.",Math / Mathematics,Division
Solve for x: 8x + (-1) = -145,-22,-20,-18,-21,C,"8x = -145 - (-1) = -144, so x = -144/8 = -18.",Math / Mathematics,Equations
Which symbol correctly compares 11 and -447? (11 ___ -447),<,≥,=,>,D,11 > -447.,Math / Mathematics,Comparison
What is 15 × 85?,1273,1275,1260,1277,B,15 × 85 = 1275.,Math / Mathematics,Multiplication
What is 13 × 98?,1275,1274,1276,1176,B,13 × 98 = 1274.,Math / Mathematics,Multiplication
What is 7969 + 409?,8378,8383,8368,8380,A,7969 + 409 = 8378.,Math / Mathematics,Addition
What is 22 × 2?,66,44,46,45,B,22 × 2 = 44.,Math / Mathematics,Multiplication
What is 154 ÷ 7?,20,22,18,23,B,"154 ÷ 7 = 22, since 7 × 22 = 154.",Math / Mathematics,Division
What is 187.08 + 21.93?,208.01,207.01,208.51,209.01,D,187.08 + 21.93 = 209.01.,Math / Mathematics,Decimals
Which symbol correctly compares 234 and -144? (234 ___ -144),<,>,=,≥,B,234 > -144.,Math / Mathematics,Comparison
What is 442 ÷ 13?,34,37,39,31,A,"442 ÷ 13 = 34, since 13 × 34 = 442.",Math / Mathematics,Division
What is 182.83 - 137.94?,44.89,46.89,45.39,43.89,A,182.83 - 137.94 = 44.89.,Math / Mathematics,Decimals
What is 124.33 - 33.26?,90.07,91.57,91.07,90.97,C,124.33 - 33.26 = 91.07.,Math / Mathematics,Decimals
What is 4/11 + 1/8 (in simplest form)?,45/89,44/87,42/88,43/88,D,4/11 + 1/8 = 43/88 = 43/88 in simplest form.,Math / Mathematics,Fractions
What is 2964 - 2903?,59,81,71,61,D,2964 - 2903 = 61.,Math / Mathematics,Subtraction
What is 1296 ÷ 48?,30,29,31,27,D,"1296 ÷ 48 = 27, since 48 × 27 = 1296.",Math / Mathematics,Division
What is 2703 ÷ 17?,154,164,159,160,C,"2703 ÷ 17 = 159, since 17 × 159 = 2703.",Math / Mathematics,Division
What is 198.47 - 93.54?,104.43,102.93,104.83,104.93,D,198.47 - 93.54 = 104.93.,Math / Mathematics,Decimals
What is 80% of 750?,620,605,585,600,D,80% of 750 = (80/100) × 750 = 600.,Math / Mathematics,Percentage
What is 7260 - 5394?,1865,1864,1866,1856,C,7260 - 5394 = 1866.,Math / Mathematics,Subtraction
Solve for x: 2x + (-16) = -24,0,-8,-3,-4,D,"2x = -24 - (-16) = -8, so x = -8/2 = -4.",Math / Mathematics,Equations
Solve for x: 10x + (-13) = 157,17,16,19,20,A,"10x = 157 - (-13) = 170, so x = 170/10 = 17.",Math / Mathematics,Equations
What is 8/2 + 5/3 (in simplest form)?,16/2,17/3,18/3,15/3,B,8/2 + 5/3 = 17/3 = 17/3 in simplest form.,Math / Mathematics,Fractions
What is 2069 + 3485?,5555,5544,5552,5554,D,2069 + 3485 = 5554.,Math / Mathematics,Addition
Which symbol correctly compares 143 and -118? (143 ___ -118),<,≥,=,>,D,143 > -118.,Math / Mathematics,Comparison
Solve for x: 12x + (-6) = 150,13,9,10,15,A,"12x = 150 - (-6) = 156, so x = 156/12 = 13.",Math / Mathematics,Equations
What is 15% of 1910?,301,271,286,291,C,15% of 1910 = (15/100) × 1910 = 286.,Math / Mathematics,Percentage
Solve for x: 9x + (-41) = 76,14,13,11,15,B,"9x = 76 - (-41) = 117, so x = 117/9 = 13.",Math / Mathematics,Equations
Solve for x: 10x + (-38) = 122,20,17,16,18,C,"10x = 122 - (-38) = 160, so x = 160/10 = 16.",Math / Mathematics,Equations
What is 8554 ÷ 47?,183,184,182,186,C,"8554 ÷ 47 = 182, since 47 × 182 = 8554.",Math / Mathematics,Division
Which symbol correctly compares 460 and 151? (460 ___ 151),=,≥,>,<,C,460 > 151.,Math / Mathematics,Comparison
What is 4802 ÷ 49?,98,100,93,101,A,"4802 ÷ 49 = 98, since 49 × 98 = 4802.",Math / Mathematics,Division
What is 9763 - 2256?,7506,7505,7507,7517,C,9763 - 2256 = 7507.,Math / Mathematics,Subtraction
What is 3003 ÷ 21?,141,144,143,138,C,"3003 ÷ 21 = 143, since 21 × 143 = 3003.",Math / Mathematics,Division
What is 3939 ÷ 39?,105,103,104,101,D,"3939 ÷ 39 = 101, since 39 × 101 = 3939.",Math / Mathematics,Division
What is 7111 - 5859?,1253,1257,1262,1252,D,7111 - 5859 = 1252.,Math / Mathematics,Subtraction
What is 12% of 1120?,139,134,124,129,B,12% of 1120 = (12/100) × 1120 = 134.,Math / Mathematics,Percentage
What is 12% of 510?,46,61,71,76,B,12% of 510 = (12/100) × 510 = 61.,Math / Mathematics,Percentage
What is 30% of 1180?,359,339,354,349,C,30% of 1180 = (30/100) × 1180 = 354.,Math / Mathematics,Percentage
What is 6026 - 4995?,1030,1041,1031,1032,C,6026 - 4995 = 1031.,Math / Mathematics,Subtraction
What is 90% of 870?,783,793,798,778,A,90% of 870 = (90/100) × 870 = 783.,Math / Mathematics,Percentage
What is 5346 ÷ 33?,166,163,165,162,D,"5346 ÷ 33 = 162, since 33 × 162 = 5346.",Math / Mathematics,Division
What is 8385 ÷ 43?,195,196,190,191,A,"8385 ÷ 43 = 195, since 43 × 195 = 8385.",Math / Mathematics,Division
What is 188.03 - 61.46?,126.07,126.57,126.47,127.57,B,188.03 - 61.46 = 126.57.,Math / Mathematics,Decimals
What is 8243 - 364?,7874,7879,7859,7884,B,8243 - 364 = 7879.,Math / Mathematics,Subtraction
What is 6/3 + 9/2 (in simplest form)?,12/1,14/1,13/2,11/4,C,6/3 + 9/2 = 13/2 = 13/2 in simplest form.,Math / Mathematics,Fractions
What is 1/8 + 1/9 (in simplest form)?,17/72,15/74,16/71,15/71,A,1/8 + 1/9 = 17/72 = 17/72 in simplest form.,Math / Mathematics,Fractions
What is 40 × 67?,2640,2681,2682,2680,D,40 × 67 = 2680.,Math / Mathematics,Multiplication
What is 64 × 73?,4736,4672,4670,4673,B,64 × 73 = 4672.,Math / Mathematics,Multiplication
What is 79 × 8?,632,631,634,630,A,79 × 8 = 632.,Math / Mathematics,Multiplication
What is 5328 ÷ 36?,148,149,145,147,A,"5328 ÷ 36 = 148, since 36 × 148 = 5328.",Math / Mathematics,Division
What is 4/12 + 3/10 (in simplest form)?,20/32,21/31,18/32,19/30,D,4/12 + 3/10 = 19/30 = 19/30 in simplest form.,Math / Mathematics,Fractions
What is 570 + 6305?,6875,6877,6880,6870,A,570 + 6305 = 6875.,Math / Mathematics,Addition
What is 8/9 + 7/11 (in simplest form)?,153/99,149/101,151/99,149/100,C,8/9 + 7/11 = 151/99 = 151/99 in simplest form.,Math / Mathematics,Fractions
What is 6244 + 1290?,7534,7554,7514,7535,A,6244 + 1290 = 7534.,Math / Mathematics,Addition
What is 1426 ÷ 23?,62,59,65,66,A,"1426 ÷ 23 = 62, since 23 × 62 = 1426.",Math / Mathematics,Division
What is 9358 - 7944?,1416,1412,1434,1414,D,9358 - 7944 = 1414.,Math / Mathematics,Subtraction
What is 2741 - 997?,1744,1764,1746,1743,A,2741 - 997 = 1744.,Math / Mathematics,Subtraction
What is 8870 + 1976?,10846,10848,10847,10866,A,8870 + 1976 = 10846.,Math / Mathematics,Addition
What is 1197 - 226?,971,981,966,951,A,1197 - 226 = 971.,Math / Mathematics,Subtraction
Solve for x: 10x + (-34) = -34,4,0,-4,1,B,"10x = -34 - (-34) = 0, so x = 0/10 = 0.",Math / Mathematics,Equations
What is 14.21 - 6.48?,7.73,7.63,5.73,8.23,A,14.21 - 6.48 = 7.73.,Math / Mathematics,Decimals
What is 30 × 73?,2190,2191,2220,2189,A,30 × 73 = 2190.,Math / Mathematics,Multiplication
Which symbol correctly compares 392 and -296? (392 ___ -296),=,<,>,≥,C,392 > -296.,Math / Mathematics,Comparison
What is 10% of 1630?,163,158,168,153,A,10% of 1630 = (10/100) × 1630 = 163.,Math / Mathematics,Percentage
What is 990 ÷ 30?,31,29,33,37,C,"990 ÷ 30 = 33, since 30 × 33 = 990.",Math / Mathematics,Division
What is 194.15 - 49.54?,144.61,146.61,145.61,145.11,A,194.15 - 49.54 = 144.61.,Math / Mathematics,Decimals
What is 5% of 700?,15,20,35,40,C,5% of 700 = (5/100) × 700 = 35.,Math / Mathematics,Percentage
What is 3954 + 3689?,7645,7648,7643,7644,C,3954 + 3689 = 7643.,Math / Mathematics,Addition
Solve for x: 8x + (-28) = -60,-6,-7,-4,0,C,"8x = -60 - (-28) = -32, so x = -32/8 = -4.",Math / Mathematics,Equations
What is 376 ÷ 8?,47,43,52,42,A,"376 ÷ 8 = 47, since 8 × 47 = 376.",Math / Mathematics,Division
Which symbol correctly compares -170 and -432? (-170 ___ -432),≥,<,>,=,C,-170 > -432.,Math / Mathematics,Comparison
What is 43 × 99?,4257,4256,4247,4214,A,43 × 99 = 4257.,Math / Mathematics,Multiplication
What is 1824 ÷ 16?,118,112,114,119,C,"1824 ÷ 16 = 114, since 16 × 114 = 1824.",Math / Mathematics,Division
What is 7969 + 3540?,11508,11509,11507,11504,B,7969 + 3540 = 11509.,Math / Mathematics,Addition
What is 2646 ÷ 21?,130,128,126,121,C,"2646 ÷ 21 = 126, since 21 × 126 = 2646.",Math / Mathematics,Division
What is 126.67 - 43.97?,83.20,82.70,82.20,83.70,B,126.67 - 43.97 = 82.70.,Math / Mathematics,Decimals
What is 9600 - 994?,8604,8608,8611,8606,D,9600 - 994 = 8606.,Math / Mathematics,Subtraction
What is 8764 + 7948?,16712,16702,16732,16707,A,8764 + 7948 = 16712.,Math / Mathematics,Addition
What is 7/3 + 9/2 (in simplest form)?,43/5,41/6,40/7,39/6,B,7/3 + 9/2 = 41/6 = 41/6 in simplest form.,Math / Mathematics,Fractions
What is 29 × 47?,1361,1334,1363,1364,C,29 × 47 = 1363.,Math / Mathematics,Multiplication
What is 2880 ÷ 40?,74,75,70,72,D,"2880 ÷ 40 = 72, since 40 × 72 = 2880.",Math / Mathematics,Division
Which symbol correctly compares -403 and -231? (-403 ___ -231),=,>,<,≥,C,-403 < -231.,Math / Mathematics,Comparison
What is 8/7 + 4/9 (in simplest form)?,101/65,99/65,100/63,102/62,C,8/7 + 4/9 = 100/63 = 100/63 in simplest form.,Math / Mathematics,Fractions
What is 1182 - 795?,397,387,386,377,B,1182 - 795 = 387.,Math / Mathematics,Subtraction
What is 1315 + 4169?,5484,5494,5483,5479,A,1315 + 4169 = 5484.,Math / Mathematics,Addition
What is 8933 - 720?,8215,8213,8218,8208,B,8933 - 720 = 8213.,Math / Mathematics,Subtraction
What is 131.4 - 80.99?,49.41,49.91,51.41,50.41,D,131.4 - 80.99 = 50.41.,Math / Mathematics,Decimals
What is 144.34 + 21.97?,166.31,166.41,165.81,168.31,A,144.34 + 21.97 = 166.31.,Math / Mathematics,Decimals
Which symbol correctly compares 98 and -211? (98 ___ -211),<,=,>,≥,C,98 > -211.,Math / Mathematics,Comparison
What is 1232 + 3007?,4234,4237,4239,4244,C,1232 + 3007 = 4239.,Math / Mathematics,Addition
What is 3666 ÷ 26?,140,137,141,146,C,"3666 ÷ 26 = 141, since 26 × 141 = 3666.",Math / Mathematics,Division
What is 3099 - 704?,2390,2385,2395,2415,C,3099 - 704 = 2395.,Math / Mathematics,Subtraction
What is 3/6 + 4/10 (in simplest form)?,9/10,7/12,8/12,11/10,A,3/6 + 4/10 = 9/10 = 9/10 in simplest form.,Math / Mathematics,Fractions
What is 103.07 + 62.87?,165.84,163.94,166.44,165.94,D,103.07 + 62.87 = 165.94.,Math / Mathematics,Decimals
Which symbol correctly compares 234 and -321? (234 ___ -321),≥,=,<,>,D,234 > -321.,Math / Mathematics,Comparison
Which symbol correctly compares -391 and 262? (-391 ___ 262),≥,<,>,=,B,-391 < 262.,Math / Mathematics,Comparison
What is 3984 ÷ 48?,85,86,83,80,C,"3984 ÷ 48 = 83, since 48 × 83 = 3984.",Math / Mathematics,Division
What is 3351 - 1234?,2117,2119,2107,2122,A,3351 - 1234 = 2117.,Math / Mathematics,Subtraction
What is 155.43 + 181.99?,338.42,337.52,336.42,337.42,D,155.43 + 181.99 = 337.42.,Math / Mathematics,Decimals
Solve for x: 10x + (8) = 18,1,5,0,2,A,"10x = 18 - (8) = 10, so x = 10/10 = 1.",Math / Mathematics,Equations
What is 56 × 95?,5321,5264,5318,5320,D,56 × 95 = 5320.,Math / Mathematics,Multiplication
What is 9/4 + 2/4 (in simplest form)?,12/6,13/5,11/4,10/6,C,9/4 + 2/4 = 11/4 = 11/4 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 14 and -27? (14 ___ -27),>,<,=,≥,A,14 > -27.,Math / Mathematics,Comparison
Which symbol correctly compares 473 and -444? (473 ___ -444),≥,<,>,=,C,473 > -444.,Math / Mathematics,Comparison
Which symbol correctly compares 28 and 106? (28 ___ 106),≥,<,=,>,B,28 < 106.,Math / Mathematics,Comparison
Which symbol correctly compares 49 and -370? (49 ___ -370),<,>,=,≥,B,49 > -370.,Math / Mathematics,Comparison
What is 54 × 79?,4264,4256,4266,4345,C,54 × 79 = 4266.,Math / Mathematics,Multiplication
What is 4448 + 3453?,7903,7906,7901,7881,C,4448 + 3453 = 7901.,Math / Mathematics,Addition
What is 153.03 - 141.17?,13.86,11.86,12.36,11.76,B,153.03 - 141.17 = 11.86.,Math / Mathematics,Decimals
What is 2822 - 2558?,274,254,264,244,C,2822 - 2558 = 264.,Math / Mathematics,Subtraction
What is 60% of 330?,203,198,193,178,B,60% of 330 = (60/100) × 330 = 198.,Math / Mathematics,Percentage
What is 3078 ÷ 19?,158,157,166,162,D,"3078 ÷ 19 = 162, since 19 × 162 = 3078.",Math / Mathematics,Division
What is 9788 - 432?,9376,9356,9366,9355,B,9788 - 432 = 9356.,Math / Mathematics,Subtraction
Which symbol correctly compares -58 and -277? (-58 ___ -277),>,<,≥,=,A,-58 > -277.,Math / Mathematics,Comparison
What is 7/8 + 7/10 (in simplest form)?,61/41,63/40,65/41,64/42,B,7/8 + 7/10 = 63/40 = 63/40 in simplest form.,Math / Mathematics,Fractions
What is 2472 ÷ 24?,99,103,102,101,B,"2472 ÷ 24 = 103, since 24 × 103 = 2472.",Math / Mathematics,Division
What is 15% of 1430?,214,194,209,234,A,15% of 1430 = (15/100) × 1430 = 214.,Math / Mathematics,Percentage
What is 26 ÷ 13?,2,5,7,4,A,"26 ÷ 13 = 2, since 13 × 2 = 26.",Math / Mathematics,Division
What is 7880 + 5417?,13297,13296,13287,13298,A,7880 + 5417 = 13297.,Math / Mathematics,Addition
What is 6776 ÷ 44?,152,158,154,155,C,"6776 ÷ 44 = 154, since 44 × 154 = 6776.",Math / Mathematics,Division
What is 2338 - 1753?,575,580,585,583,C,2338 - 1753 = 585.,Math / Mathematics,Subtraction
What is 6.09 + 76.84?,84.93,83.43,82.83,82.93,D,6.09 + 76.84 = 82.93.,Math / Mathematics,Decimals
What is 104.83 + 74.79?,179.12,179.62,179.52,180.62,B,104.83 + 74.79 = 179.62.,Math / Mathematics,Decimals
Solve for x: 12x + (2) = -202,-17,-21,-14,-18,A,"12x = -202 - (2) = -204, so x = -204/12 = -17.",Math / Mathematics,Equations
What is 71 × 87?,6248,6177,6090,6176,B,71 × 87 = 6177.,Math / Mathematics,Multiplication
What is 117.64 - 17.03?,100.51,101.61,101.11,100.61,D,117.64 - 17.03 = 100.61.,Math / Mathematics,Decimals
What is 7138 + 6207?,13345,13346,13347,13340,A,7138 + 6207 = 13345.,Math / Mathematics,Addition
What is 1853 + 7141?,8974,9014,8989,8994,D,1853 + 7141 = 8994.,Math / Mathematics,Addition
What is 30% of 160?,63,68,48,28,C,30% of 160 = (30/100) × 160 = 48.,Math / Mathematics,Percentage
Solve for x: 2x + (-47) = -37,8,4,3,5,D,"2x = -37 - (-47) = 10, so x = 10/2 = 5.",Math / Mathematics,Equations
What is 8/12 + 6/9 (in simplest form)?,4/3,5/5,3/3,6/2,A,8/12 + 6/9 = 4/3 = 4/3 in simplest form.,Math / Mathematics,Fractions
What is 8144 + 7772?,15915,15921,15918,15916,D,8144 + 7772 = 15916.,Math / Mathematics,Addition
What is 20% of 450?,105,70,110,90,D,20% of 450 = (20/100) × 450 = 90.,Math / Mathematics,Percentage
What is 2/10 + 1/4 (in simplest form)?,9/20,7/22,10/19,11/19,A,2/10 + 1/4 = 9/20 = 9/20 in simplest form.,Math / Mathematics,Fractions
What is 3068 + 9177?,12250,12245,12247,12244,B,3068 + 9177 = 12245.,Math / Mathematics,Addition
What is 6105 ÷ 33?,187,185,180,189,B,"6105 ÷ 33 = 185, since 33 × 185 = 6105.",Math / Mathematics,Division
What is 80% of 1860?,1478,1498,1468,1488,D,80% of 1860 = (80/100) × 1860 = 1488.,Math / Mathematics,Percentage
What is 5534 - 5206?,338,323,328,348,C,5534 - 5206 = 328.,Math / Mathematics,Subtraction
What is 7/3 + 1/5 (in simplest form)?,38/15,37/16,40/16,39/15,A,7/3 + 1/5 = 38/15 = 38/15 in simplest form.,Math / Mathematics,Fractions
What is 50% of 250?,115,130,125,105,C,50% of 250 = (50/100) × 250 = 125.,Math / Mathematics,Percentage
What is 98.88 + 113.96?,213.34,213.84,212.84,212.74,C,98.88 + 113.96 = 212.84.,Math / Mathematics,Decimals
What is 4558 + 9810?,14368,14378,14388,14366,A,4558 + 9810 = 14368.,Math / Mathematics,Addition
What is 3212 + 7105?,10312,10307,10316,10317,D,3212 + 7105 = 10317.,Math / Mathematics,Addition
What is 2724 - 751?,1973,1953,1983,1975,A,2724 - 751 = 1973.,Math / Mathematics,Subtraction
What is 9353 + 7560?,16913,16911,16933,16915,A,9353 + 7560 = 16913.,Math / Mathematics,Addition
What is 6/3 + 3/4 (in simplest form)?,9/5,11/4,12/6,12/3,B,6/3 + 3/4 = 11/4 = 11/4 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 475 and -412? (475 ___ -412),<,≥,=,>,D,475 > -412.,Math / Mathematics,Comparison
What is 68 × 61?,4146,4209,4216,4148,D,68 × 61 = 4148.,Math / Mathematics,Multiplication
Solve for x: 2x + (13) = -3,-12,-7,-11,-8,D,"2x = -3 - (13) = -16, so x = -16/2 = -8.",Math / Mathematics,Equations
What is 130.42 + 132.22?,264.64,263.64,262.14,262.64,D,130.42 + 132.22 = 262.64.,Math / Mathematics,Decimals
What is 1890 + 9634?,11523,11522,11504,11524,D,1890 + 9634 = 11524.,Math / Mathematics,Addition
Which symbol correctly compares -118 and 175? (-118 ___ 175),>,≥,=,<,D,-118 < 175.,Math / Mathematics,Comparison
What is 4719 ÷ 33?,147,146,142,143,D,"4719 ÷ 33 = 143, since 33 × 143 = 4719.",Math / Mathematics,Division
What is 4/6 + 8/12 (in simplest form)?,5/4,4/3,6/2,3/3,B,4/6 + 8/12 = 4/3 = 4/3 in simplest form.,Math / Mathematics,Fractions
What is 5530 + 9191?,14722,14719,14701,14721,D,5530 + 9191 = 14721.,Math / Mathematics,Addition
What is 7 × 14?,96,97,91,98,D,7 × 14 = 98.,Math / Mathematics,Multiplication
What is 6/12 + 3/4 (in simplest form)?,6/4,7/4,6/5,5/4,D,6/12 + 3/4 = 5/4 = 5/4 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 90 and 54? (90 ___ 54),=,>,≥,<,B,90 > 54.,Math / Mathematics,Comparison
What is 94 × 77?,7144,7161,7228,7238,D,94 × 77 = 7238.,Math / Mathematics,Multiplication
What is 7841 - 6170?,1666,1671,1670,1672,B,7841 - 6170 = 1671.,Math / Mathematics,Subtraction
What is 6519 + 2409?,8938,8927,8928,8933,C,6519 + 2409 = 8928.,Math / Mathematics,Addition
What is 4248 ÷ 24?,173,177,179,180,B,"4248 ÷ 24 = 177, since 24 × 177 = 4248.",Math / Mathematics,Division
What is 152.65 - 117.48?,35.17,35.27,36.17,37.17,A,152.65 - 117.48 = 35.17.,Math / Mathematics,Decimals
Which symbol correctly compares 72 and 449? (72 ___ 449),=,>,≥,<,D,72 < 449.,Math / Mathematics,Comparison
What is 13 × 35?,442,455,420,454,B,13 × 35 = 455.,Math / Mathematics,Multiplication
What is 80 × 81?,6560,6480,6479,6478,B,80 × 81 = 6480.,Math / Mathematics,Multiplication
What is 2439 + 307?,2746,2726,2744,2747,A,2439 + 307 = 2746.,Math / Mathematics,Addition
What is 124.62 - 100.28?,24.34,22.34,25.34,23.84,A,124.62 - 100.28 = 24.34.,Math / Mathematics,Decimals
What is 8272 - 5791?,2481,2486,2479,2480,A,8272 - 5791 = 2481.,Math / Mathematics,Subtraction
What is 5/3 + 7/7 (in simplest form)?,7/4,9/5,8/3,7/2,C,5/3 + 7/7 = 8/3 = 8/3 in simplest form.,Math / Mathematics,Fractions
What is 4783 - 2867?,1914,1916,1911,1917,B,4783 - 2867 = 1916.,Math / Mathematics,Subtraction
What is 173.44 + 5.47?,178.41,178.91,176.91,180.91,B,173.44 + 5.47 = 178.91.,Math / Mathematics,Decimals
What is 4350 ÷ 25?,175,177,171,174,D,"4350 ÷ 25 = 174, since 25 × 174 = 4350.",Math / Mathematics,Division
What is 57 × 12?,627,685,686,684,D,57 × 12 = 684.,Math / Mathematics,Multiplication
What is 12% of 1640?,177,182,197,202,C,12% of 1640 = (12/100) × 1640 = 197.,Math / Mathematics,Percentage
Solve for x: 10x + (45) = 135,8,10,11,9,D,"10x = 135 - (45) = 90, so x = 90/10 = 9.",Math / Mathematics,Equations
Which symbol correctly compares -427 and -487? (-427 ___ -487),<,≥,=,>,D,-427 > -487.,Math / Mathematics,Comparison
What is 121.54 + 171.45?,291.99,294.99,292.99,290.99,C,121.54 + 171.45 = 292.99.,Math / Mathematics,Decimals
What is 1128 ÷ 8?,145,146,144,141,D,"1128 ÷ 8 = 141, since 8 × 141 = 1128.",Math / Mathematics,Division
What is 8816 + 2596?,11402,11413,11412,11411,C,8816 + 2596 = 11412.,Math / Mathematics,Addition
What is 4235 + 5418?,9643,9653,9633,9663,B,4235 + 5418 = 9653.,Math / Mathematics,Addition
What is 1476 ÷ 41?,36,34,35,39,A,"1476 ÷ 41 = 36, since 41 × 36 = 1476.",Math / Mathematics,Division
Which symbol correctly compares 303 and 58? (303 ___ 58),=,<,≥,>,D,303 > 58.,Math / Mathematics,Comparison
What is 3504 ÷ 24?,148,146,141,143,B,"3504 ÷ 24 = 146, since 24 × 146 = 3504.",Math / Mathematics,Division
Solve for x: 9x + (15) = 87,4,11,8,12,C,"9x = 87 - (15) = 72, so x = 72/9 = 8.",Math / Mathematics,Equations
Solve for x: 7x + (13) = -57,-10,-11,-7,-8,A,"7x = -57 - (13) = -70, so x = -70/7 = -10.",Math / Mathematics,Equations
What is 5/6 + 9/3 (in simplest form)?,24/5,25/6,21/6,23/6,D,5/6 + 9/3 = 23/6 = 23/6 in simplest form.,Math / Mathematics,Fractions
What is 5850 - 3174?,2675,2681,2674,2676,D,5850 - 3174 = 2676.,Math / Mathematics,Subtraction
Which symbol correctly compares 467 and 204? (467 ___ 204),≥,>,<,=,B,467 > 204.,Math / Mathematics,Comparison
What is 175.03 - 43.37?,132.16,130.66,131.66,133.66,C,175.03 - 43.37 = 131.66.,Math / Mathematics,Decimals
What is 13 × 22?,276,286,273,288,B,13 × 22 = 286.,Math / Mathematics,Multiplication
What is 5250 ÷ 50?,110,105,108,100,B,"5250 ÷ 50 = 105, since 50 × 105 = 5250.",Math / Mathematics,Division
Which symbol correctly compares 496 and 387? (496 ___ 387),≥,>,=,<,B,496 > 387.,Math / Mathematics,Comparison
Solve for x: 6x + (38) = 152,20,17,19,15,C,"6x = 152 - (38) = 114, so x = 114/6 = 19.",Math / Mathematics,Equations
Solve for x: 4x + (10) = -66,-16,-19,-17,-21,B,"4x = -66 - (10) = -76, so x = -76/4 = -19.",Math / Mathematics,Equations
What is 89 - 77?,12,2,17,11,A,89 - 77 = 12.,Math / Mathematics,Subtraction
What is 59.09 - 42.45?,17.14,17.64,16.64,16.14,C,59.09 - 42.45 = 16.64.,Math / Mathematics,Decimals
What is 2/9 + 9/10 (in simplest form)?,99/90,101/90,102/91,100/90,B,2/9 + 9/10 = 101/90 = 101/90 in simplest form.,Math / Mathematics,Fractions
What is 176.63 - 34.17?,144.46,142.56,140.46,142.46,D,176.63 - 34.17 = 142.46.,Math / Mathematics,Decimals
What is 15% of 330?,70,45,50,55,C,15% of 330 = (15/100) × 330 = 50.,Math / Mathematics,Percentage
What is 25.72 + 20.34?,45.06,46.56,48.06,46.06,D,25.72 + 20.34 = 46.06.,Math / Mathematics,Decimals
What is 790 ÷ 5?,162,163,156,158,D,"790 ÷ 5 = 158, since 5 × 158 = 790.",Math / Mathematics,Division
What is 27.35 + 166.34?,194.69,193.59,193.69,192.69,C,27.35 + 166.34 = 193.69.,Math / Mathematics,Decimals
What is 141.01 - 88.47?,52.04,52.44,52.54,52.64,C,141.01 - 88.47 = 52.54.,Math / Mathematics,Decimals
What is 8658 - 134?,8524,8526,8529,8522,A,8658 - 134 = 8524.,Math / Mathematics,Subtraction
What is 5662 - 1987?,3675,3677,3674,3665,A,5662 - 1987 = 3675.,Math / Mathematics,Subtraction
What is 8/12 + 5/6 (in simplest form)?,3/2,2/3,1/3,4/2,A,8/12 + 5/6 = 3/2 = 3/2 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares -305 and 272? (-305 ___ 272),=,≥,<,>,C,-305 < 272.,Math / Mathematics,Comparison
What is 1254 ÷ 38?,34,29,31,33,D,"1254 ÷ 38 = 33, since 38 × 33 = 1254.",Math / Mathematics,Division
What is 70% of 1760?,1227,1252,1212,1232,D,70% of 1760 = (70/100) × 1760 = 1232.,Math / Mathematics,Percentage
Which symbol correctly compares 401 and -417? (401 ___ -417),<,=,≥,>,D,401 > -417.,Math / Mathematics,Comparison
What is 123.88 - 78.38?,45.50,46.50,45.60,45.40,A,123.88 - 78.38 = 45.50.,Math / Mathematics,Decimals
What is 4/10 + 2/2 (in simplest form)?,9/6,8/7,7/5,9/4,C,4/10 + 2/2 = 7/5 = 7/5 in simplest form.,Math / Mathematics,Fractions
What is 2078 + 4637?,6715,6735,6716,6710,A,2078 + 4637 = 6715.,Math / Mathematics,Addition
Which symbol correctly compares 407 and 441? (407 ___ 441),<,>,≥,=,A,407 < 441.,Math / Mathematics,Comparison
What is 594 ÷ 11?,50,56,54,52,C,"594 ÷ 11 = 54, since 11 × 54 = 594.",Math / Mathematics,Division
What is 50 × 6?,350,300,294,250,B,50 × 6 = 300.,Math / Mathematics,Multiplication
What is 211 + 3278?,3488,3489,3509,3469,B,211 + 3278 = 3489.,Math / Mathematics,Addition
What is 5112 - 1810?,3301,3312,3322,3302,D,5112 - 1810 = 3302.,Math / Mathematics,Subtraction
Solve for x: 12x + (46) = 22,-2,-1,1,0,A,"12x = 22 - (46) = -24, so x = -24/12 = -2.",Math / Mathematics,Equations
What is 7824 ÷ 48?,166,158,167,163,D,"7824 ÷ 48 = 163, since 48 × 163 = 7824.",Math / Mathematics,Division
What is 138.27 - 124.2?,14.57,14.17,14.07,12.07,C,138.27 - 124.2 = 14.07.,Math / Mathematics,Decimals
What is 6340 + 3306?,9656,9651,9644,9646,D,6340 + 3306 = 9646.,Math / Mathematics,Addition
Solve for x: 10x + (-9) = 51,4,6,10,2,B,"10x = 51 - (-9) = 60, so x = 60/10 = 6.",Math / Mathematics,Equations
What is 4/4 + 5/3 (in simplest form)?,6/5,9/5,6/2,8/3,D,4/4 + 5/3 = 8/3 = 8/3 in simplest form.,Math / Mathematics,Fractions
