Game Question No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
8490,"Fill in the blank: ______ refers to ""the fundamental set of principles or established precedents according to which a state is governed"".",Question Hour,a constitution,a bill in the legislative process,a Panchayati Raj institution,B,a constitution refers to: the fundamental set of principles or established precedents according to which a state is governed,Social Science,Civics
8491,Which statement correctly describes an API (Application Programming Interface)?,"a prioritised list of features, changes, and fixes for a product, maintained in Agile development",an assessment conducted to determine whether a proposed software project is practical and viable,a set of rules that allows different software applications to communicate with each other,a software testing method where individual modules are combined and tested as a group,C,"By definition, an API (Application Programming Interface) is: a set of rules that allows different software applications to communicate with each other",Software,Software Development
8492,How many Petabyte (PB)s is 21 Megabyte (MB)(s) equal to?,1.90994e-11,1.95578e-08,1.95578e-09,1.95578e-05,B,"1 Megabyte (MB) = 1024^-3 Petabyte (PB)(s) (relative scale), so 21 Megabyte (MB)(s) = 1.95578e-08 Petabyte (PB)(s).",Hardware,Storage Units
8493,Which statement correctly describes a token (in language models)?,"a unit of text, such as a word or part of a word, used by language models to process and generate language",a technique used to fine-tune AI models based on human preferences and feedback,an AI technique that applies the visual style of one image to the content of another,"instructions given to an AI model before user interaction begins, shaping its behaviour and tone",A,"By definition, a token (in language models) is: a unit of text, such as a word or part of a word, used by language models to process and generate language",AI – Artificial Intelligence,Generative AI
8494,A classifier has 12 true positives and 26 false negatives. What is its recall (rounded to 2 decimal places)?,0.32,0.02,0.47,0.22,A,Recall = TP / (TP + FN) = 12 / (12 + 26) = 0.32.,ML – Machine Learning,Model Evaluation
8495,"Which term matches this description: ""a physicist and chemist who conducted pioneering research on radioactivity and won two Nobel Prizes""?",Marie Curie,Isaac Newton,Galileo Galilei,William Shakespeare,A,The description matches Marie Curie: a physicist and chemist who conducted pioneering research on radioactivity and won two Nobel Prizes,General Knowledge (GK),Famous People
8496,A team scores at a run rate of 8.0 runs per over for 7 overs. Approximately how many runs have they scored?,56,66,76,36,A,Runs ≈ Run rate × Overs = 8.0 × 7 ≈ 56 runs.,Cricket,Scoring Calculations
8497,Is 90 divisible by 10?,Only sometimes,Cannot say,No,Yes,D,"90 ÷ 10 leaves remainder 0, so the answer is Yes.",Aptitude,Divisibility
8498,"Fill in the blank: ______ refers to ""a file that lists a website's pages, helping search engines understand its structure"".",browser caching (of static assets),caching (in web development),a call-to-action (CTA),a sitemap,D,"a sitemap refers to: a file that lists a website's pages, helping search engines understand its structure",Web Development,General Web Development
8499,"In each row, the third number is the product of the first two: [14, 13, 182], [10, 6, 60], [5, 12, ?]. Find the missing number.",60,54,62,70,A,"Following the pattern, the missing number = 5 × 12 = 60.",Puzzles,Pattern Puzzle
8500,"White has 8 pawns, 1 knight, 2 bishops, 1 rook. Black has 6 pawns, 1 rook. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 13 point(s),White is ahead by 13 point(s),White is ahead by 11 point(s),White is ahead by 9 point(s),C,"White's material = 22. Black's material = 11. Difference = 11, so White is ahead by 11 point(s).",Chess,Piece Values
8501,What is 5346 ÷ 33?,166,163,165,162,D,"5346 ÷ 33 = 162, since 33 × 162 = 5346.",Math / Mathematics,Division
8502,Which statement correctly describes the Aztec Empire?,"a Carthaginian general famous for leading his army, including war elephants, across the Alps to invade Italy",a Mesoamerican civilisation known for its capital Tenochtitlan and eventual conquest by Spanish forces,"one of the earliest civilisations, located between the Tigris and Euphrates rivers, credited with inventing writing",an ancient Indian mathematician and astronomer known for his contributions to the concept of zero and planetary motion,B,"By definition, the Aztec Empire is: a Mesoamerican civilisation known for its capital Tenochtitlan and eventual conquest by Spanish forces",History,Ancient History
8503,"Which term matches this description: ""the discovery of the first widely used antibiotic, made by Alexander Fleming in 1928""?",vaccination,Antonie van Leeuwenhoek,the discovery of penicillin,Louis Pasteur's germ theory,C,"The description matches the discovery of penicillin: the discovery of the first widely used antibiotic, made by Alexander Fleming in 1928",Science,Discoveries
8504,"Fill in the blank: ______ refers to ""the point in an orbit where a planet or object is farthest from the Sun"".",the solar wind,the term 'aphelion',the age of the universe,dark matter,B,the term 'aphelion' refers to: the point in an orbit where a planet or object is farthest from the Sun,Space,Astronomy
8505,What is the English meaning of the Kannada word 'ಪಶ್ಚಿಮ'?,March,sunshine/heat,number,west,D,'ಪಶ್ಚಿಮ' means 'west' in English.,Kannada Subjects,Vocabulary
8506,'disapprove' is a synonym of which word?,far,dislike,difficult,famous,B,'disapprove' is similar in meaning to 'dislike'.,English Subjects,Synonyms
8507,Which statement correctly describes affirmative action?,"the marriage of individuals below the legal age, which is prohibited by law in most countries including India",a nationwide sanitation and cleanliness campaign launched by the Government of India in 2014,policies aimed at improving opportunities for historically marginalised or underrepresented groups,an Indian government programme providing free lunches to schoolchildren to improve nutrition and school attendance,C,"By definition, affirmative action is: policies aimed at improving opportunities for historically marginalised or underrepresented groups",Social Science,Society
8508,"Which term matches this description: ""the process of adapting software for a specific region or language, including translations and cultural adjustments""?",a software audit,npm (Node Package Manager),open-source software,localisation of software,D,"The description matches localisation of software: the process of adapting software for a specific region or language, including translations and cultural adjustments",Software,Software Basics
8509,What is a VGA port?,a networking device that connects devices within a network and forwards data based on MAC addresses,"a small, fast type of volatile memory located close to the CPU, used to speed up data access",dedicated memory on a graphics card used to store image data for rendering,an older analog video connector used to connect monitors to computers,D,a VGA port is: an older analog video connector used to connect monitors to computers,Hardware,Ports and Connectors
8510,Which statement correctly describes an AI system's training pipeline?,early AI programs designed to emulate the decision-making ability of a human expert in a specific domain,a machine learning technique where a model trained on one task is adapted for use on a related task,"an approach to AI based on high-level symbolic representations of problems, logic, and reasoning","the sequence of steps used to prepare data, train, validate, and deploy a machine learning model",D,"By definition, an AI system's training pipeline is: the sequence of steps used to prepare data, train, validate, and deploy a machine learning model",AI – Artificial Intelligence,AI Basics
8511,"A classifier has 47 true positives, 132 true negatives, 28 false positives, and 16 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.70,0.80,0.90,0.60,B,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (47+132)/(47+132+28+16) = 0.80.,ML – Machine Learning,Model Evaluation
8512,"Which term matches this description: ""a naturalist known for his contributions to the theory of evolution by natural selection""?",Nelson Mandela,APJ Abdul Kalam,Marie Curie,Charles Darwin,D,The description matches Charles Darwin: a naturalist known for his contributions to the theory of evolution by natural selection,General Knowledge (GK),Famous People
8513,A team scores at a run rate of 4.19 runs per over for 21 overs. Approximately how many runs have they scored?,98,93,103,88,D,Runs ≈ Run rate × Overs = 4.19 × 21 ≈ 88 runs.,Cricket,Scoring Calculations
8514,A quantity of 501 is increased by 40%. What is the new value?,691,686,716,701,D,"40% of 501 = 200. Since it increased, new value = 501 + 200 = 701.",Aptitude,Percentage
8515,What is Apache HTTP Server?,a widely used open-source web server software,a security vulnerability that allows attackers to inject malicious scripts into web pages viewed by other users,"a device or program, such as a web browser, that requests resources or services from a server",a major revision of the HTTP protocol that improves performance through features like multiplexing and header compression,A,Apache HTTP Server is: a widely used open-source web server software,Web Development,Backend
8516,"A person is facing East. They turn 180° to the left, then turn 270° to the left. Which direction are they now facing?",East,South,West,North,D,"Facing East, turning 180° left gives West. Turning 270° left from West gives North.",Puzzles,Direction Sense
8517,"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 2 bishops, 1 rook?",15,8,11,9,C,Total value = 2×3 + 1×5 = 11.,Chess,Piece Values
8518,What is 8385 ÷ 43?,195,196,190,191,A,"8385 ÷ 43 = 195, since 43 × 195 = 8385.",Math / Mathematics,Division
8519,What is Joan of Arc?,"the founder and first ruler of the Mongol Empire, one of the largest contiguous empires in history",a French heroine who led French forces during the Hundred Years' War and was later canonised as a saint,a 15th-century Indian mystic poet whose verses emphasised unity between Hindu and Muslim traditions,"seafaring Norse people known for their raids, trade, and exploration across Europe from the 8th to 11th centuries",B,Joan of Arc is: a French heroine who led French forces during the Hundred Years' War and was later canonised as a saint,History,Medieval History
8520,"Which term matches this description: ""the scientist often called the father of microbiology, known for his pioneering work with microscopes""?",Gregor Mendel,Edward Jenner,Antonie van Leeuwenhoek,Charles Darwin's theory of evolution,C,"The description matches Antonie van Leeuwenhoek: the scientist often called the father of microbiology, known for his pioneering work with microscopes",Science,Discoveries
8521,What is the term 'astronaut'?,a NASA program aiming to return humans to the Moon and eventually send astronauts to Mars,"derived from Greek words meaning 'star sailor', referring to a person trained to travel in spacecraft","a vehicle designed to travel on the Moon's surface, such as those used in the Apollo missions","China's lunar exploration programme, which has conducted several robotic Moon missions",B,"the term 'astronaut' is: derived from Greek words meaning 'star sailor', referring to a person trained to travel in spacecraft",Space,Space Missions
8522,Which statement correctly describes a Kannada noun (naama pada)?,"a word in Kannada grammar that names a person, place, thing, or idea","a word in Kannada grammar used in place of a noun, such as ನಾನು (I) or ಅವನು (he)","meaning 'his/her/their' (respectful), used as a possessive pronoun in Kannada","meaning 'my', used as a possessive pronoun in Kannada",A,"By definition, a Kannada noun (naama pada) is: a word in Kannada grammar that names a person, place, thing, or idea",Kannada Subjects,Kannada Grammar
8523,Which statement correctly describes a homophone?,"a word that is pronounced the same as another word but has a different meaning or spelling, e.g. 'flower' and 'flour'",the part of a sentence that contains the verb and gives information about the subject,"a noun that names a general person, place, or thing","a figure of speech that compares two things using 'like' or 'as', e.g. 'as brave as a lion'",A,"By definition, a homophone is: a word that is pronounced the same as another word but has a different meaning or spelling, e.g. 'flower' and 'flour'",English Subjects,Vocabulary
8524,"Which term matches this description: ""India's central banking institution, responsible for regulating the money supply and banking sector""?",unemployment,deflation,the Reserve Bank of India (RBI),the concept of opportunity cost,C,"The description matches the Reserve Bank of India (RBI): India's central banking institution, responsible for regulating the money supply and banking sector",Social Science,Economics
8525,What is merging (in Git)?,"a piece of software designed to update, fix, or improve a program, often addressing security vulnerabilities","a software design pattern that separates an application into three interconnected components: data, user interface, and logic",the process of integrating changes from one branch into another in version control,"the process of converting source code into a standalone, executable software artefact",C,merging (in Git) is: the process of integrating changes from one branch into another in version control,Software,Software Development
8526,How many Terabyte (TB)s is 12 Petabyte (PB)(s) equal to?,12,122880,24576,12288,D,"1 Petabyte (PB) = 1024^1 Terabyte (TB)(s) (relative scale), so 12 Petabyte (PB)(s) = 12288 Terabyte (TB)(s).",Hardware,Storage Units
8527,Which statement correctly describes a TPU (Tensor Processing Unit)?,"the internal variables that a model learns from training data, which determine its behaviour and predictions","a computing system inspired by biological neural networks, consisting of interconnected layers of nodes",a specialised hardware chip developed by Google to accelerate machine learning computations,an entity that perceives its environment and takes actions to achieve specific goals,C,"By definition, a TPU (Tensor Processing Unit) is: a specialised hardware chip developed by Google to accelerate machine learning computations",AI – Artificial Intelligence,AI Basics
8528,"A classifier has precision 0.96 and recall 0.72 (from 100 TP, 4 FP, 39 FN). What is its F1 score (rounded to 2 decimal places)?",0.82,0.52,0.62,0.67,A,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.96×0.72)/(0.96+0.72) = 0.82.,ML – Machine Learning,Model Evaluation
8529,The city of Pyongyang serves as the capital of which nation in Asia?,Saudi Arabia,Oman,North Korea,India,C,"Pyongyang is the capital of North Korea, located in Asia.",General Knowledge (GK),Countries and Capitals
8530,"Which term matches this description: ""a professional Twenty20 cricket league in India featuring franchise teams""?",a no-ball,One Day International (ODI) cricket,the Indian Premier League (IPL),Brian Lara,C,The description matches the Indian Premier League (IPL): a professional Twenty20 cricket league in India featuring franchise teams,Cricket,Tournaments
8531,"A can complete a piece of work in 18 days and B can complete it in 14 days. Working together, how many days will they take (rounded to 2 decimal places)?",7.38,9.88,9.38,7.88,D,Combined rate = 1/18 + 1/14. Time together = (18×14)/(18+14) = 7.88 days.,Aptitude,Time and Work
8532,"Which term matches this description: ""a technique used to smoothly change a CSS property value over a specified duration""?",CSS Grid,a CSS transition,the difference between margin and padding,normalize.css,B,The description matches a CSS transition: a technique used to smoothly change a CSS property value over a specified duration,Web Development,CSS
8533,"In each row, the third number is the product of the first two: [3, 11, 33], [15, 6, 90], [6, 10, ?]. Find the missing number.",58,60,50,64,B,"Following the pattern, the missing number = 6 × 10 = 60.",Puzzles,Pattern Puzzle
8534,"White has 8 pawns, 1 bishop, 1 rook, 1 queen. Black has 5 pawns, 1 knight, 1 bishop. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 16 point(s),White is ahead by 15 point(s),Black is ahead by 15 point(s),White is ahead by 14 point(s),D,"White's material = 25. Black's material = 11. Difference = 14, so White is ahead by 14 point(s).",Chess,Piece Values
8535,What is 188.03 - 61.46?,126.07,126.57,126.47,127.57,B,188.03 - 61.46 = 126.57.,Math / Mathematics,Decimals
8536,Which statement correctly describes Lal Bahadur Shastri?,"India's second Prime Minister, known for the slogan 'Jai Jawan Jai Kisan'",the British Act of Parliament that partitioned British India and granted independence to India and Pakistan,originally founded as the Muhammadan Anglo-Oriental College in 1875 by Sir Syed Ahmad Khan,a colonial prison in the Andaman Islands used to incarcerate Indian freedom fighters,A,"By definition, Lal Bahadur Shastri is: India's second Prime Minister, known for the slogan 'Jai Jawan Jai Kisan'",History,Indian History
8537,Which statement correctly describes muscles?,an organ that produces insulin and digestive enzymes,"the control centre of the nervous system, responsible for thought, memory, and coordinating body functions",body tissues capable of contracting to produce movement,"the group of organs, including the lungs, responsible for breathing and gas exchange",C,"By definition, muscles is: body tissues capable of contracting to produce movement",Science,Human Body
8538,"Which term matches this description: ""the Indian Space Research Organisation, India's national space agency""?",Earth's magnetosphere,the term 'aphelion of Earth',the term 'spacewalk' (EVA),ISRO,D,"The description matches ISRO: the Indian Space Research Organisation, India's national space agency",Space,Space Agencies
8539,What is the English meaning of the Kannada word 'ಇಬ್ಬನಿ'?,elder brother,thousand,dew,tiger,C,'ಇಬ್ಬನಿ' means 'dew' in English.,Kannada Subjects,Weather
8540,Which statement correctly describes a predicate in a sentence?,the part of a sentence that contains the verb and gives information about the subject,"the person, place, or thing that performs the action of the verb",a group of related words that does not contain a subject and verb pair,a sentence with only one independent clause,A,"By definition, a predicate in a sentence is: the part of a sentence that contains the verb and gives information about the subject",English Subjects,Sentence Structure
8541,What is a free trade agreement?,financial assistance provided by the government to reduce the cost of goods or services for consumers or producers,an agreement between two or more countries to reduce or eliminate trade barriers such as tariffs,the total monetary value of all goods and services produced within a country in a given period,"a nation with a lower standard of living, less industrial development, and lower income compared to developed nations",B,a free trade agreement is: an agreement between two or more countries to reduce or eliminate trade barriers such as tariffs,Social Science,Economics
8542,"Fill in the blank: ______ refers to ""malicious software that encrypts a victim's files and demands payment for their release"".",Oracle Database,ransomware,client-server architecture,a software vendor,B,ransomware refers to: malicious software that encrypts a victim's files and demands payment for their release,Software,Software Basics
8543,How many Kilobyte (KB)s is 19 Byte(s) equal to?,0.185547,19,0.0185547,0.00185547,C,"1 Byte = 1024^-1 Kilobyte (KB)(s) (relative scale), so 19 Byte(s) = 0.0185547 Kilobyte (KB)(s).",Hardware,Storage Units
8544,"Fill in the blank: ______ refers to ""the degree to which a human can understand the cause of a decision made by an AI model"".",an AI model's refusal behaviour,model interpretability,an AI capability evaluation,the Chinese Room argument,B,model interpretability refers to: the degree to which a human can understand the cause of a decision made by an AI model,AI – Artificial Intelligence,AI Ethics
8545,"A classifier has precision 0.81 and recall 0.63 (from 163 TP, 37 FP, 95 FN). What is its F1 score (rounded to 2 decimal places)?",0.71,0.81,0.51,1.00,A,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.81×0.63)/(0.81+0.63) = 0.71.,ML – Machine Learning,Model Evaluation
8546,What is the capital of Saudi Arabia?,Riyadh,Dublin,Bangkok,Kampala,A,The capital of Saudi Arabia is Riyadh.,General Knowledge (GK),Countries and Capitals
8547,A team scores at a run rate of 7.78 runs per over for 35 overs. Approximately how many runs have they scored?,272,292,267,257,A,Runs ≈ Run rate × Overs = 7.78 × 35 ≈ 272 runs.,Cricket,Scoring Calculations
8548,What is the LCM (Least Common Multiple) of 16 and 23?,365,371,364,368,D,"LCM(16,23) = (16×23)/HCF(16,23) = 368.",Aptitude,LCM and HCF
8549,What is JavaScript?,"a special keyword that refers to the object from which a function is called, with its value depending on context",a web storage feature that allows data to be saved in a browser with no expiration time,a programming language used to create interactive and dynamic behaviour on web pages,"a runtime environment that allows JavaScript to be executed outside a web browser, often used for server-side development",C,JavaScript is: a programming language used to create interactive and dynamic behaviour on web pages,Web Development,JavaScript
8550,"Find the next number in the sequence: 6, 14, 22, 30, 38, ?",62,53,46,37,C,Each term increases by 8. Next term = 38 + 8 = 46.,Puzzles,Number Sequence
8551,"White has 6 pawns, 2 knights, 1 bishop, 1 rook, 1 queen. Black has 1 pawn, 1 knight, 2 rooks, 1 queen. Using standard piece values, who has the material advantage and by how many points?",Black is ahead by 3 point(s),Black is ahead by 8 point(s),White is ahead by 8 point(s),White is ahead by 6 point(s),D,"White's material = 29. Black's material = 23. Difference = 6, so White is ahead by 6 point(s).",Chess,Piece Values
8552,What is 8243 - 364?,7874,7879,7859,7884,B,8243 - 364 = 7879.,Math / Mathematics,Subtraction
8553,What is Lala Lajpat Rai?,"a land revenue system introduced by the British in Bengal, fixing revenue rates paid by zamindars",a series of conferences held in London between 1930 and 1932 to discuss constitutional reforms in India,"an Indian freedom fighter, part of the 'Lal Bal Pal' trio, who died from injuries sustained during a protest","the last Viceroy of India, who oversaw the transfer of power and the partition in 1947",C,"Lala Lajpat Rai is: an Indian freedom fighter, part of the 'Lal Bal Pal' trio, who died from injuries sustained during a protest",History,Indian History
8554,"Which term matches this description: ""the law stating that voltage equals current multiplied by resistance (V = IR)""?",Ohm's Law,the electromagnetic spectrum,sublimation,magnetism,A,The description matches Ohm's Law: the law stating that voltage equals current multiplied by resistance (V = IR),Science,Physics
8555,"Fill in the blank: ______ refers to ""the American astronaut who became the first person to walk on the Moon in 1969"".",Neil Armstrong,the International Space Station (ISS),the Great Red Spot on Jupiter,cosmic microwave background radiation,A,Neil Armstrong refers to: the American astronaut who became the first person to walk on the Moon in 1969,Space,Astronauts
8556,What is the English meaning of the Kannada word 'ನೂರು'?,hundred,twenty,lamp,slow,A,'ನೂರು' means 'hundred' in English.,Kannada Subjects,Numbers
8557,Which word is a antonym of 'clean'?,end,lower,dry,dirty,D,'dirty' is opposite in meaning to 'clean'.,English Subjects,Antonyms
8558,"Which term matches this description: ""a portion of a country's territory that is geographically separated from the main part by surrounding foreign territory""?",urbanisation,the term 'exclave',a peninsula,the Tropic of Cancer,B,The description matches the term 'exclave': a portion of a country's territory that is geographically separated from the main part by surrounding foreign territory,Social Science,Geography
8559,What is a feasibility study?,an assessment conducted to determine whether a proposed software project is practical and viable,"a software development approach emphasising iterative progress, collaboration, and flexibility to change","a tool that analyses source code to flag programming errors, bugs, and stylistic issues",a software testing method that examines functionality without looking at internal code structure,A,a feasibility study is: an assessment conducted to determine whether a proposed software project is practical and viable,Software,Software Development
8560,How many Kilobyte (KB)s is 21 Petabyte (PB)(s) equal to?,4.61795e+13,2.25486e+10,2.30897e+13,2.30897e+14,C,"1 Petabyte (PB) = 1024^4 Kilobyte (KB)(s) (relative scale), so 21 Petabyte (PB)(s) = 2.30897e+13 Kilobyte (KB)(s).",Hardware,Storage Units
8561,"Fill in the blank: ______ refers to ""an AI application that identifies or verifies a person's identity using their facial features"".",streaming output (in AI chat),AI in supply chain management,an AI recommendation engine's collaborative filtering,facial recognition technology,D,facial recognition technology refers to: an AI application that identifies or verifies a person's identity using their facial features,AI – Artificial Intelligence,AI Applications
8562,"A classifier has 136 true positives, 200 true negatives, 62 false positives, and 38 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.87,0.77,0.97,0.67,B,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (136+200)/(136+200+62+38) = 0.77.,ML – Machine Learning,Model Evaluation
8563,"Which term matches this description: ""the nickname for the Great Bell of the clock at the Houses of Parliament in London""?",the Statue of Liberty,the Taj Mahal,Machu Picchu,Big Ben,D,The description matches Big Ben: the nickname for the Great Bell of the clock at the Houses of Parliament in London,General Knowledge (GK),Landmarks
8564,A team needs 55 runs to win from 9.1 overs remaining. What is the required run rate (runs per over)?,6.54,7.04,8.04,6.04,D,Required run rate = Runs needed / Overs remaining = 55 / 9.1 ≈ 6.04.,Cricket,Scoring Calculations
8565,Find the Compound Interest on ₹5808 at 20% per annum for 2 years (compounded annually).,2706,2556,2406,2456,B,Amount = P(1+R/100)^T = 5808(1+20/100)^2 ≈ ₹8364. CI = Amount − P = ₹2556.,Aptitude,Compound Interest
8566,What is event bubbling (in JavaScript)?,"a programming interface that represents the structure of a web page as a tree of objects, enabling scripts to interact with it",a programming language used to create interactive and dynamic behaviour on web pages,a mechanism where an event triggered on a nested element propagates up through its parent elements,"a function passed as an argument to another function, executed after a certain task is completed",C,event bubbling (in JavaScript) is: a mechanism where an event triggered on a nested element propagates up through its parent elements,Web Development,JavaScript
8567,"If A=1, B=2, C=3, ... Z=26, what is the sum of the letter values in the word 'JOY'?",50,47,49,45,A,J(10) + O(15) + Y(25) = 50.,Puzzles,Coding-Decoding
8568,"Which term matches this description: ""an Indian chess Grandmaster who was World Chess Champion from 2007 to 2013""?",algebraic notation,Viswanathan Anand,check,the French Defence,B,The description matches Viswanathan Anand: an Indian chess Grandmaster who was World Chess Champion from 2007 to 2013,Chess,Players
8569,What is 6/3 + 9/2 (in simplest form)?,14/2,15/1,13/2,12/4,C,6/3 + 9/2 = 13/2 = 13/2 in simplest form.,Math / Mathematics,Fractions
8570,"Fill in the blank: ______ refers to ""the Cold War-era competition between the USA and USSR to achieve spaceflight milestones"".",Nelson Mandela's presidency,the Space Race,the Manhattan Project,the apartheid system,B,the Space Race refers to: the Cold War-era competition between the USA and USSR to achieve spaceflight milestones,History,Modern History
8571,Which statement correctly describes white blood cells?,an organ that breaks down food using acid and enzymes as part of digestion,organic compounds that the body needs in small amounts for normal growth and health,"blood cells that are part of the immune system, helping to fight infection","organs that filter waste products from the blood and regulate fluid balance, producing urine",C,"By definition, white blood cells is: blood cells that are part of the immune system, helping to fight infection",Science,Human Body
8572,What is the ecliptic?,the point in an orbit around Earth where an object is farthest from Earth,one of two times a year when day and night are approximately equal in length everywhere on Earth,the apparent path the Sun traces across the sky over the course of a year,"the point in Earth's orbit where it is closest to the Sun, occurring around early January",C,the ecliptic is: the apparent path the Sun traces across the sky over the course of a year,Space,Astronomy
8573,Which Kannada word means 'door'?,ಬೆಳಿಗ್ಗೆ,ಬಾಗಿಲು,ಆಕಾಶ,ರಾಜ,B,'ಬಾಗಿಲು' means 'door' in English.,Kannada Subjects,Vocabulary
8574,Choose the word that is similar in meaning to 'show':,ancient,slender,display,courageous,C,'display' is similar in meaning to 'show'.,English Subjects,Synonyms
8575,Which statement correctly describes local self-government?,the legal process by which a foreign national acquires citizenship of another country,"governance by elected bodies at the village, town, or district level, closer to the people","the right of all adult citizens to vote, regardless of gender, race, or social status","an introductory statement outlining the guiding principles of the Constitution, including justice, liberty, equality, and fraternity",B,"By definition, local self-government is: governance by elected bodies at the village, town, or district level, closer to the people",Social Science,Civics
8576,Which statement correctly describes a release candidate?,a short daily meeting in Agile development where team members discuss progress and blockers,"a version of software that is potentially ready for release, unless significant bugs are found",a software testing method where individual components or functions are tested in isolation,a web-based platform for hosting and collaborating on Git repositories,B,"By definition, a release candidate is: a version of software that is potentially ready for release, unless significant bugs are found",Software,Software Development
8577,How many Gigabyte (GB)s is 28 Terabyte (TB)(s) equal to?,286720,14336,2867.2,28672,D,"1 Terabyte (TB) = 1024^1 Gigabyte (GB)(s) (relative scale), so 28 Terabyte (TB)(s) = 28672 Gigabyte (GB)(s).",Hardware,Storage Units
8578,"Fill in the blank: ______ refers to ""a metric used to measure how similar two vectors are, commonly used in NLP and recommendation systems"".",the attention mechanism,cosine similarity,an AI model's throughput,a sigmoid activation function,B,"cosine similarity refers to: a metric used to measure how similar two vectors are, commonly used in NLP and recommendation systems",AI – Artificial Intelligence,AI Basics
8579,A classifier has 67 true positives and 93 false positives. What is its precision (rounded to 2 decimal places)?,0.72,0.57,0.12,0.42,D,Precision = TP / (TP + FP) = 67 / (67 + 93) = 0.42.,ML – Machine Learning,Model Evaluation
8580,What is the official currency of Russia?,South Korean Won,Algerian Dinar,Renminbi (Yuan),Russian Ruble,D,The currency of Russia is the Russian Ruble.,General Knowledge (GK),Currencies
8581,Which team won the ICC Cricket World Cup held in 1975?,South Africa,England,West Indies,India,C,West Indies won the Cricket World Cup in 1975.,Cricket,World Cup History
8582,"Two numbers are in the ratio 7:9. If their sum is 176, find the larger number.",99,114,94,102,A,Total parts = 7+9 = 16. Each part = 176/16 = 11. Larger number = 9 × 11 = 99.,Aptitude,Ratios
8583,"Which term matches this description: ""the practice of storing website files like images and scripts on a user's device to speed up future visits""?",browser caching (of static assets),cross-browser compatibility,a dynamic website,a staging environment (in web development),A,The description matches browser caching (of static assets): the practice of storing website files like images and scripts on a user's device to speed up future visits,Web Development,General Web Development
8584,What is the angle between the hour and minute hands of a clock at 4:05?,92.5°,122.5°,62.5°,102.5°,A,Angle = |30×hour − 5.5×minute| = |30×4 − 5.5×5| = 92.5° (taking the smaller angle).,Puzzles,Clock Puzzles
8585,"White has 4 pawns, 2 bishops, 2 rooks, 1 queen. Black has 2 pawns, 2 knights, 2 bishops. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 15 point(s),Black is ahead by 16 point(s),Black is ahead by 14 point(s),Black is ahead by 18 point(s),A,"White's material = 29. Black's material = 14. Difference = 15, so White is ahead by 15 point(s).",Chess,Piece Values
8586,What is 1/8 + 1/9 (in simplest form)?,17/72,15/71,15/74,16/73,A,1/8 + 1/9 = 17/72 = 17/72 in simplest form.,Math / Mathematics,Fractions
8587,Which statement correctly describes Guru Nanak?,"the founder of Sikhism, born in the 15th century in the Punjab region","seafaring Norse people known for their raids, trade, and exploration across Europe from the 8th to 11th centuries","a period of renewed interest in art, science, and classical learning that began in Italy and spread across Europe",a hierarchical system involving daimyo lords and samurai warriors,A,"By definition, Guru Nanak is: the founder of Sikhism, born in the 15th century in the Punjab region",History,Medieval History
8588,"Fill in the blank: ______ refers to ""the scientist often called the father of microbiology, known for his pioneering work with microscopes"".",Antonie van Leeuwenhoek,the discovery of penicillin,Gregor Mendel,Charles Darwin's theory of evolution,A,"Antonie van Leeuwenhoek refers to: the scientist often called the father of microbiology, known for his pioneering work with microscopes",Science,Discoveries
8589,Which statement correctly describes the term 'soft landing'?,a specific time period during which a rocket must be launched to reach its intended orbit or destination,"a controlled landing of a spacecraft at low velocity to avoid damage, achieved using thrusters or parachutes","a NASA/ESA mission that studied Saturn and its moons, including landing a probe on Titan in 2005","China's modular space station, assembled in low Earth orbit",B,"By definition, the term 'soft landing' is: a controlled landing of a spacecraft at low velocity to avoid damage, achieved using thrusters or parachutes",Space,Space Missions
8590,"Which term matches this description: ""a notable Kannada novelist known for her works exploring psychological and social themes""?",Triveni (Anasuya Shankar),the term 'Kannada Sahitya',Ponna,Ha Ma Nayak,A,The description matches Triveni (Anasuya Shankar): a notable Kannada novelist known for her works exploring psychological and social themes,Kannada Subjects,Kannada Literature
8591,Which word is similar in meaning to 'furious'?,perfect,angry,big,begin,B,'angry' is similar in meaning to 'furious'.,English Subjects,Synonyms
8592,Which statement correctly describes the Consumer Protection Act?,"the process by which the government sells its stake in public sector enterprises, partially or fully",Indian legislation designed to protect the interests of consumers against unfair trade practices,"the sector involving the provision of services, such as banking, education, and healthcare",investment made by a company or individual in one country into business interests located in another country,B,"By definition, the Consumer Protection Act is: Indian legislation designed to protect the interests of consumers against unfair trade practices",Social Science,Economics
